"Rndrng_Prvdr_Zip5","n_providers","mean_degree","mean_strength","total_benes","is_27710"
"27710",1118,1117,33.5247211458301,265473,"Yes"
"27157",1317,1316,39.092231676768,284935,"No"
"27834",1302,1301,26.548373114135,518232,"No"
"27103",1210,1209,29.2616960544176,329768,"No"
"28204",1081,1080,32.4729146396859,196240,"No"
"27607",845,844,19.7021824753791,204071,"No"
"27610",829,828,22.5201885852963,229139,"No"
"28401",810,809,11.2280332466771,446644,"No"
"28025",765,764,17.4104959147056,183720,"No"
"27705",754,753,22.8060151185026,209581,"No"
